hook,platform,price_band,proof_line
"I paid $180 for product photos. Then I opened this JSON.",tiktok,29-79,"Cutout still on screen, filename visible. Heat Press Photo Desk."
"Studio wanted $200 a SKU. This desk runs on the machine you already own.",meta,49-79,"Show ComfyUI graph + one export. UGC Floor."
"Stop buying 500 ChatGPT prompts. Buy the file you import.",youtube,29-59,"Drag JSON into n8n. n8n Lead-to-Stripe Line."
"Generic prompt packs live in the $10 graveyard. This is $49 and it runs.",x,49,"Price on screen, then the README. Cursor Agency Skill Drop."
"Your listing photo is why nobody clicks. Fix the still, not the ads.",instagram,49,"Before wall-shot, after linen. Faceless Shorts Desk."
"Avatar on screen more than 30%? Cut. Product does the selling.",linkedin,79,"Timeline with face boxed at 4s of 15. Shopify Listing Stamp Pack."
"I do not go on camera. Here is 30 days of faceless anyway.",tiktok,47,"Calendar CSV open. Outbound Sequence Press."
"n8n plus Stripe is still an empty shelf on Gumroad. That is the point.",meta,59,"Three workflows in the sidebar. Brand Stamp Kit."
"Cursor invented a second dashboard. These rules make it stop.",youtube,39,"Diff: deleted routes. Support Agent Prompt Desk."
"One listing, one promise. If the title says UGC, the bullets cannot pivot to n8n.",x,29,"Shopify title + bullets. Ignite Press Bundle."
"Four emails. Seventy words. No quick question.",instagram,47,"Sequence doc, touch 1 highlighted. Heat Press Photo Desk."
"Support agents that invent order IDs will lose you Stripe.",linkedin,34,"Prompt: never invent an ID. UGC Floor."
"Bundle is $149. Separate is $226. That is the ladder, not a fake countdown.",tiktok,149,"Four folders, one price. n8n Lead-to-Stripe Line."
"I was paying Photoroom monthly. This is a local graph.",meta,49,"Cancel screen then ComfyUI. Cursor Agency Skill Drop."
"If the logo melts, reshoot. Do not raise denoise.",youtube,49,"Melted vs clean crop. Faceless Shorts Desk."
"Faceless does not mean stock footage sludge. It means your screen.",x,47,"Terminal + graph, no face. Shopify Listing Stamp Pack."
"Your ICP is not 'entrepreneurs'. Name the shop software.",instagram,47,"ICP skip list. Outbound Sequence Press."
"Member price is $29 a month. No limited seats theater.",linkedin,29,"Press pass card. Brand Stamp Kit."
"White-label this pack? No. That is in the license.",tiktok,39-149,"LICENSE.txt. Support Agent Prompt Desk."
"Amazon wants white. Etsy wants honest first. Two stills, two jobs.",meta,49,"QA checklist. Ignite Press Bundle."
"Heat Press Photo Desk: I paid $180 for product photos. Then I opened this JSON.",youtube,29-79,"Cutout still on screen, filename visible. Heat Press Photo Desk."
"UGC Floor: Studio wanted $200 a SKU. This desk runs on the machine you already own.",x,49-79,"Show ComfyUI graph + one export. UGC Floor."
"n8n Lead-to-Stripe Line: Stop buying 500 ChatGPT prompts. Buy the file you import.",instagram,29-59,"Drag JSON into n8n. n8n Lead-to-Stripe Line."
"Cursor Agency Skill Drop: Generic prompt packs live in the $10 graveyard. This is $49 and it runs.",linkedin,49,"Price on screen, then the README. Cursor Agency Skill Drop."
"Faceless Shorts Desk: Your listing photo is why nobody clicks. Fix the still, not the ads.",tiktok,49,"Before wall-shot, after linen. Faceless Shorts Desk."
"Shopify Listing Stamp Pack: Avatar on screen more than 30%? Cut. Product does the selling.",meta,79,"Timeline with face boxed at 4s of 15. Shopify Listing Stamp Pack."
"Outbound Sequence Press: I do not go on camera. Here is 30 days of faceless anyway.",youtube,47,"Calendar CSV open. Outbound Sequence Press."
"Brand Stamp Kit: n8n plus Stripe is still an empty shelf on Gumroad. That is the point.",x,59,"Three workflows in the sidebar. Brand Stamp Kit."
"Support Agent Prompt Desk: Cursor invented a second dashboard. These rules make it stop.",instagram,39,"Diff: deleted routes. Support Agent Prompt Desk."
"Ignite Press Bundle: One listing, one promise. If the title says UGC, the bullets cannot pivot to n8n.",linkedin,29,"Shopify title + bullets. Ignite Press Bundle."
"Heat Press Photo Desk: Four emails. Seventy words. No quick question.",tiktok,47,"Sequence doc, touch 1 highlighted. Heat Press Photo Desk."
"UGC Floor: Support agents that invent order IDs will lose you Stripe.",meta,34,"Prompt: never invent an ID. UGC Floor."
"n8n Lead-to-Stripe Line: Bundle is $149. Separate is $226. That is the ladder, not a fake countdown.",youtube,149,"Four folders, one price. n8n Lead-to-Stripe Line."
"Cursor Agency Skill Drop: I was paying Photoroom monthly. This is a local graph.",x,49,"Cancel screen then ComfyUI. Cursor Agency Skill Drop."
"Faceless Shorts Desk: If the logo melts, reshoot. Do not raise denoise.",instagram,49,"Melted vs clean crop. Faceless Shorts Desk."
"Shopify Listing Stamp Pack: Faceless does not mean stock footage sludge. It means your screen.",linkedin,47,"Terminal + graph, no face. Shopify Listing Stamp Pack."
"Outbound Sequence Press: Your ICP is not 'entrepreneurs'. Name the shop software.",tiktok,47,"ICP skip list. Outbound Sequence Press."
"Brand Stamp Kit: Member price is $29 a month. No limited seats theater.",meta,29,"Press pass card. Brand Stamp Kit."
"Support Agent Prompt Desk: White-label this pack? No. That is in the license.",youtube,39-149,"LICENSE.txt. Support Agent Prompt Desk."
"Ignite Press Bundle: Amazon wants white. Etsy wants honest first. Two stills, two jobs.",x,49,"QA checklist. Ignite Press Bundle."
"Heat Press Photo Desk: I paid $180 for product photos. Then I opened this JSON.",instagram,29-79,"Cutout still on screen, filename visible. Heat Press Photo Desk."
"UGC Floor: Studio wanted $200 a SKU. This desk runs on the machine you already own.",linkedin,49-79,"Show ComfyUI graph + one export. UGC Floor."
"n8n Lead-to-Stripe Line: Stop buying 500 ChatGPT prompts. Buy the file you import.",tiktok,29-59,"Drag JSON into n8n. n8n Lead-to-Stripe Line."
"Cursor Agency Skill Drop: Generic prompt packs live in the $10 graveyard. This is $49 and it runs.",meta,49,"Price on screen, then the README. Cursor Agency Skill Drop."
"Faceless Shorts Desk: Your listing photo is why nobody clicks. Fix the still, not the ads.",youtube,49,"Before wall-shot, after linen. Faceless Shorts Desk."
"Shopify Listing Stamp Pack: Avatar on screen more than 30%? Cut. Product does the selling.",x,79,"Timeline with face boxed at 4s of 15. Shopify Listing Stamp Pack."
"Outbound Sequence Press: I do not go on camera. Here is 30 days of faceless anyway.",instagram,47,"Calendar CSV open. Outbound Sequence Press."
"Brand Stamp Kit: n8n plus Stripe is still an empty shelf on Gumroad. That is the point.",linkedin,59,"Three workflows in the sidebar. Brand Stamp Kit."
"Support Agent Prompt Desk: Cursor invented a second dashboard. These rules make it stop.",tiktok,39,"Diff: deleted routes. Support Agent Prompt Desk."
"Ignite Press Bundle: One listing, one promise. If the title says UGC, the bullets cannot pivot to n8n.",meta,29,"Shopify title + bullets. Ignite Press Bundle."
"Heat Press Photo Desk: Four emails. Seventy words. No quick question.",youtube,47,"Sequence doc, touch 1 highlighted. Heat Press Photo Desk."
"UGC Floor: Support agents that invent order IDs will lose you Stripe.",x,34,"Prompt: never invent an ID. UGC Floor."
"n8n Lead-to-Stripe Line: Bundle is $149. Separate is $226. That is the ladder, not a fake countdown.",instagram,149,"Four folders, one price. n8n Lead-to-Stripe Line."
"Cursor Agency Skill Drop: I was paying Photoroom monthly. This is a local graph.",linkedin,49,"Cancel screen then ComfyUI. Cursor Agency Skill Drop."
"Faceless Shorts Desk: If the logo melts, reshoot. Do not raise denoise.",tiktok,49,"Melted vs clean crop. Faceless Shorts Desk."
"Shopify Listing Stamp Pack: Faceless does not mean stock footage sludge. It means your screen.",meta,47,"Terminal + graph, no face. Shopify Listing Stamp Pack."
"Outbound Sequence Press: Your ICP is not 'entrepreneurs'. Name the shop software.",youtube,47,"ICP skip list. Outbound Sequence Press."
"Brand Stamp Kit: Member price is $29 a month. No limited seats theater.",x,29,"Press pass card. Brand Stamp Kit."
"Support Agent Prompt Desk: White-label this pack? No. That is in the license.",instagram,39-149,"LICENSE.txt. Support Agent Prompt Desk."
"Ignite Press Bundle: Amazon wants white. Etsy wants honest first. Two stills, two jobs.",linkedin,49,"QA checklist. Ignite Press Bundle."
"Heat Press Photo Desk: I paid $180 for product photos. Then I opened this JSON.",tiktok,29-79,"Cutout still on screen, filename visible. Heat Press Photo Desk."
"UGC Floor: Studio wanted $200 a SKU. This desk runs on the machine you already own.",meta,49-79,"Show ComfyUI graph + one export. UGC Floor."
"n8n Lead-to-Stripe Line: Stop buying 500 ChatGPT prompts. Buy the file you import.",youtube,29-59,"Drag JSON into n8n. n8n Lead-to-Stripe Line."
"Cursor Agency Skill Drop: Generic prompt packs live in the $10 graveyard. This is $49 and it runs.",x,49,"Price on screen, then the README. Cursor Agency Skill Drop."
"Faceless Shorts Desk: Your listing photo is why nobody clicks. Fix the still, not the ads.",instagram,49,"Before wall-shot, after linen. Faceless Shorts Desk."
"Shopify Listing Stamp Pack: Avatar on screen more than 30%? Cut. Product does the selling.",linkedin,79,"Timeline with face boxed at 4s of 15. Shopify Listing Stamp Pack."
"Outbound Sequence Press: I do not go on camera. Here is 30 days of faceless anyway.",tiktok,47,"Calendar CSV open. Outbound Sequence Press."
