day,weekday,hook,promise,cta,platform,script
1,mon,"Wall photos kill click-through.","One still, linen recipe.","Open Heat Press",tiktok,scripts/01.md
2,tue,"$200 photographer vs a local graph.","Cutout in one load.","Download the JSON",youtube,scripts/02.md
3,wed,"Prompt junk is $10 and it shows.","Buy a desk, not a PDF.","Shop lot 01",tiktok,scripts/03.md
4,thu,"n8n from form to Stripe.","Three workflows.","Import lead-qualify",linkedin,scripts/04.md
5,fri,"Cursor added a dashboard I did not ask for.","Rules that lock scope.","Drop the skill pack",x,scripts/05.md
6,sun,"Sunday recap: one proof from the week.","Show a real export.","Reply with your SKU",youtube,scripts/06.md
7,mon,"Wall photos kill click-through.","One still, linen recipe.","Open Heat Press",tiktok,scripts/07.md
8,tue,"$200 photographer vs a local graph.","Cutout in one load.","Download the JSON",youtube,scripts/08.md
9,wed,"Prompt junk is $10 and it shows.","Buy a desk, not a PDF.","Shop lot 01",tiktok,scripts/09.md
10,thu,"n8n from form to Stripe.","Three workflows.","Import lead-qualify",linkedin,scripts/10.md
11,fri,"Cursor added a dashboard I did not ask for.","Rules that lock scope.","Drop the skill pack",x,scripts/11.md
12,sun,"Sunday recap: one proof from the week.","Show a real export.","Reply with your SKU",youtube,scripts/12.md
13,mon,"Wall photos kill click-through.","One still, linen recipe.","Open Heat Press",tiktok,scripts/13.md
14,tue,"$200 photographer vs a local graph.","Cutout in one load.","Download the JSON",youtube,scripts/14.md
15,wed,"Prompt junk is $10 and it shows.","Buy a desk, not a PDF.","Shop lot 01",tiktok,scripts/15.md
16,thu,"n8n from form to Stripe.","Three workflows.","Import lead-qualify",linkedin,scripts/16.md
17,fri,"Cursor added a dashboard I did not ask for.","Rules that lock scope.","Drop the skill pack",x,scripts/17.md
18,sun,"Sunday recap: one proof from the week.","Show a real export.","Reply with your SKU",youtube,scripts/18.md
19,mon,"Wall photos kill click-through.","One still, linen recipe.","Open Heat Press",tiktok,scripts/19.md
20,tue,"$200 photographer vs a local graph.","Cutout in one load.","Download the JSON",youtube,scripts/20.md
21,wed,"Prompt junk is $10 and it shows.","Buy a desk, not a PDF.","Shop lot 01",tiktok,scripts/21.md
22,thu,"n8n from form to Stripe.","Three workflows.","Import lead-qualify",linkedin,scripts/22.md
23,fri,"Cursor added a dashboard I did not ask for.","Rules that lock scope.","Drop the skill pack",x,scripts/23.md
24,sun,"Sunday recap: one proof from the week.","Show a real export.","Reply with your SKU",youtube,scripts/24.md
25,mon,"Wall photos kill click-through.","One still, linen recipe.","Open Heat Press",tiktok,scripts/25.md
26,tue,"$200 photographer vs a local graph.","Cutout in one load.","Download the JSON",youtube,scripts/26.md
27,wed,"Prompt junk is $10 and it shows.","Buy a desk, not a PDF.","Shop lot 01",tiktok,scripts/27.md
28,thu,"n8n from form to Stripe.","Three workflows.","Import lead-qualify",linkedin,scripts/28.md
29,fri,"Cursor added a dashboard I did not ask for.","Rules that lock scope.","Drop the skill pack",x,scripts/29.md
30,sun,"Sunday recap: one proof from the week.","Show a real export.","Reply with your SKU",youtube,scripts/30.md
